name	gene_copies	2-group	3-group	>=4-group
Homo_sapiens.50_10	9485	843	189	196
Homo_sapiens.50_100	18151	1461	425	420
Homo_sapiens.50_30	13859	1159	283	285
Homo_sapiens.50_50	14628	1302	362	332
Homo_sapiens.50_70	17532	1378	410	365
Homo_sapiens.60_10	3037	689	160	165
Homo_sapiens.60_100	9015	1167	301	294
Homo_sapiens.60_30	5141	928	221	213
Homo_sapiens.60_50	6160	1040	259	243
Homo_sapiens.60_70	7558	1110	282	269
Homo_sapiens.70_10	2098	502	123	116
Homo_sapiens.70_100	3716	778	221	198
Homo_sapiens.70_30	2710	627	166	147
Homo_sapiens.70_50	3163	704	184	167
Homo_sapiens.70_70	3426	743	194	183
Homo_sapiens.80_10	1507	366	96	72
Homo_sapiens.80_100	2191	532	141	108
Homo_sapiens.80_30	1800	444	112	88
Homo_sapiens.80_50	1971	483	118	99
Homo_sapiens.80_70	2059	503	126	102
Homo_sapiens.90_10	1028	245	60	52
Homo_sapiens.90_100	1385	338	78	70
Homo_sapiens.90_30	1182	286	63	63
Homo_sapiens.90_50	1261	307	68	65
Homo_sapiens.90_70	1314	320	72	66
