NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000097.3	NP_000097.3; XP_016885819.1; XP_016885820.1	497; 497; 497	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	9.3E-133; 2.4E-131; 2.4E-131	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000163.2	NP_000163.2; NP_001364224.1; NP_001095856.1	350; 354; 354	Pfam	PF00503; PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit	1.4E-120; 3.5E-124; 1.2E-123	IPR001019; IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_000175.1	NP_000175.1; NP_000550.2; NP_005321.1; NP_000509.1; NP_000510.1	147; 147; 147; 147; 147	Pfam	PF00042; PF00042; PF00042; PF00042; PF00042	Globin; Globin; Globin; Globin; Globin	4.1E-31; 2.0E-30; 3.5E-30; 9.3E-31; 5.7E-31	IPR000971; IPR000971; IPR000971; IPR000971; IPR000971	Globin; Globin; Globin; Globin; Globin
NP_000191.1	NP_000191.1; NP_002150.1	51; 57	Pfam	; 	; 	; 	; 	; 
NP_000208.2	NP_000208.2; XP_016856702.1	495; 499	Pfam	PF02214, PF00520; PF02214, PF00520	BTB/POZ domain, Ion transport protein; BTB/POZ domain, Ion transport protein	1.8E-28, 6.3E-51; 3.5E-28, 1.1E-50	IPR003131, IPR005821; IPR003131, IPR005821	Potassium channel tetramerisation-type BTB domain, Ion transport domain; Potassium channel tetramerisation-type BTB domain, Ion transport domain
NP_000231.1	NP_000231.1; NP_000889.3	527; 520	Pfam	PF01593; PF01593	Flavin containing amine oxidoreductase; Flavin containing amine oxidoreductase	1.3E-73; 1.7E-72	IPR002937; IPR002937	Amine oxidase; Amine oxidase
NP_000238.1	NP_000238.1; NP_005922.2	383; 383	Pfam	PF00129, PF07654; PF00129, PF07654	Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain; Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain	5.6E-24, 3.7E-10; 1.3E-25, 1.8E-10	IPR011161, IPR003597; IPR011161, IPR003597	MHC class I-like antigen recognition-like, Immunoglobulin C1-set; MHC class I-like antigen recognition-like, Immunoglobulin C1-set
NP_000249.1	NP_000249.1; NP_524144.1	195; 194	Pfam	; 	; 	; 	; 	; 
NP_000281.2	NP_000281.2; NP_002620.1; NP_001025062.1	253; 254; 254	Pfam	PF00300; PF00300; PF00300	Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1)	1.0E-27; 9.2E-27; 1.8E-24	IPR013078; IPR013078; IPR013078	Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1
