File_name	2-group_HSDs#	3-group_HSDs#	>=4-group_HSDs#
Chlamydomonas_reinhardtii.50_10	420	87	70
Chlamydomonas_reinhardtii.50_100	689	185	215
Chlamydomonas_reinhardtii.50_30	554	137	131
Chlamydomonas_reinhardtii.50_50	622	157	163
Chlamydomonas_reinhardtii.50_70	662	168	199
Chlamydomonas_reinhardtii.60_10	344	69	62
Chlamydomonas_reinhardtii.60_100	589	131	144
Chlamydomonas_reinhardtii.60_30	437	107	105
Chlamydomonas_reinhardtii.60_50	509	112	120
Chlamydomonas_reinhardtii.60_70	553	125	131
Chlamydomonas_reinhardtii.70_10	291	63	51
Chlamydomonas_reinhardtii.70_100	482	94	118
Chlamydomonas_reinhardtii.70_30	369	85	84
Chlamydomonas_reinhardtii.70_50	413	90	96
Chlamydomonas_reinhardtii.70_70	449	92	108
Chlamydomonas_reinhardtii.80_10	232	57	46
Chlamydomonas_reinhardtii.80_100	357	80	96
Chlamydomonas_reinhardtii.80_30	297	76	71
Chlamydomonas_reinhardtii.80_50	316	78	80
Chlamydomonas_reinhardtii.80_70	331	82	86
Chlamydomonas_reinhardtii.90_10	210	47	36
Chlamydomonas_reinhardtii.90_100	267	57	85
Chlamydomonas_reinhardtii.90_30	220	56	71
Chlamydomonas_reinhardtii.90_50	246	51	75
Chlamydomonas_reinhardtii.90_70	259	53	79
