NP_000012.1	NP_000012.1; XP_016857324.1	467; 448	Pfam	PF01080; PF01080	Presenilin; Presenilin	4.9E-166; 1.3E-107	IPR001108; IPR001108	Peptidase A22A, presenilin; Peptidase A22A, presenilin
NP_000015.2	NP_000015.2; NP_000675.1; NP_000016.1	413; 477; 408	Pfam	PF00001; PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	3.7E-73; 5.2E-83; 9.6E-71	IPR000276; IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000023.2	NP_000023.2; NP_001291373.1	587; 657	Pfam	PF09029, PF00155; PF09029, PF00155	5-aminolevulinate synthase presequence, Aminotransferase class I and II; 5-aminolevulinate synthase presequence, Aminotransferase class I and II	1.9E-7, 4.1E-78; 4.3E-46, 3.0E-77	IPR015118, IPR004839; IPR015118, IPR004839	5-aminolevulinate synthase presequence, Aminotransferase, class I/classII; 5-aminolevulinate synthase presequence, Aminotransferase, class I/classII
NP_000024.2	NP_000024.2; XP_011536329.1	745; 740	Pfam	PF06472, PF00005; PF00005, PF06472	ABC transporter transmembrane region 2, ABC transporter; ABC transporter, ABC transporter transmembrane region 2	2.9E-98, 1.8E-16; 2.9E-18, 1.8E-102	IPR011527, IPR003439; IPR003439, IPR011527	ABC transporter type 1, transmembrane domain, ABC transporter-like, ATP-binding domain; ABC transporter-like, ATP-binding domain, ABC transporter type 1, transmembrane domain
NP_000026.2	NP_000026.2; NP_005156.1; NP_001230106.1	364; 364; 418	Pfam	PF00274; PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181; 5.6E-184	IPR000741; IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_000027.3	NP_000027.3; NP_000471.1; NP_001355738.1	747; 776; 825	Pfam	PF00962; PF00962; PF00962	Adenosine/AMP deaminase; Adenosine/AMP deaminase; Adenosine/AMP deaminase	7.0E-135; 1.2E-136; 1.5E-134	IPR001365; IPR001365; IPR001365	Adenosine/AMP deaminase domain; Adenosine/AMP deaminase domain; Adenosine/AMP deaminase domain
NP_000037.2	NP_000037.2; XP_016864081.1; NP_001012301.1	533; 599; 569	Pfam	PF00884; PF00884; PF00884	Sulfatase; Sulfatase; Sulfatase	1.4E-74; 1.7E-65; 1.9E-70	IPR000917; IPR000917; IPR000917	Sulfatase, N-terminal; Sulfatase, N-terminal; Sulfatase, N-terminal
NP_000043.4	NP_000043.4; XP_005266487.1	1500; 1465	Pfam	PF00403, PF00702, PF00122; PF00403, PF00122, PF00702	Heavy-metal-associated domain, haloacid dehalogenase-like hydrolase, E1-E2 ATPase; Heavy-metal-associated domain, E1-E2 ATPase, haloacid dehalogenase-like hydrolase	1.7E-14, 2.2E-63, 6.3E-48; 6.8E-14, 6.4E-47, 2.0E-65	IPR006121, -, -; IPR006121, -, -	Heavy metal-associated domain, HMA, -, -; Heavy metal-associated domain, HMA, -, -
NP_000046.1	NP_000046.1; NP_001354847.1	602; 681	Pfam	PF00135, PF08674; PF00135, PF08674	Carboxylesterase family, Acetylcholinesterase tetramerisation domain; Carboxylesterase family, Acetylcholinesterase tetramerisation domain	1.4E-179, 2.5E-21; 1.5E-172, 4.1E-20	IPR002018, IPR014788; IPR002018, IPR014788	Carboxylesterase, type B, Acetylcholinesterase, tetramerisation domain; Carboxylesterase, type B, Acetylcholinesterase, tetramerisation domain
NP_000058.1	NP_000058.1; NP_940986.1; NP_005172.1; NP_001122301.1; NP_005173.1; NP_009151.1; XP_011521611.1	260; 262; 260; 261; 264; 317; 376	Pfam	PF00194; PF00194; PF00194; PF00194; PF00194; PF00194; PF00194	Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase; Eukaryotic-type carbonic anhydrase	3.2E-99; 2.0E-94; 1.7E-91; 1.3E-95; 5.0E-100; 2.9E-87; 1.0E-52	IPR001148; IPR001148; IPR001148; IPR001148; IPR001148; IPR001148; IPR001148	Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain; Alpha carbonic anhydrase domain
NP_000066.1	NP_000066.1; NP_001138778.1	303; 326	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	1.3E-64; 1.4E-68	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_000071.1	NP_000071.1; NP_005190.4	493; 517	Pfam	PF02932, PF02931; PF02931, PF02932	Neurotransmitter-gated ion-channel transmembrane region, Neurotransmitter-gated ion-channel ligand binding domain; Neurotransmitter-gated ion-channel ligand binding domain, Neurotransmitter-gated ion-channel transmembrane region	1.5E-56, 8.6E-65; 9.1E-71, 2.2E-58	IPR006029, IPR006202; IPR006202, IPR006029	Neurotransmitter-gated ion-channel transmembrane domain, Neurotransmitter-gated ion-channel ligand-binding domain; Neurotransmitter-gated ion-channel ligand-binding domain, Neurotransmitter-gated ion-channel transmembrane domain
NP_000074.3	NP_000074.3; NP_004357.3	988; 898	Pfam	PF00654; PF00654	Voltage gated chloride channel; Voltage gated chloride channel	8.1E-84; 1.1E-92	IPR001807; IPR001807	Chloride channel, voltage gated; Chloride channel, voltage gated
