NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000097.3	NP_000097.3; XP_016885819.1; XP_016885820.1	497; 497; 497	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	9.3E-133; 2.4E-131; 2.4E-131	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000175.1	NP_000175.1; NP_000550.2	147; 147	Pfam	PF00042; PF00042	Globin; Globin	4.1E-31; 2.0E-30	IPR000971; IPR000971	Globin; Globin
NP_000335.1	NP_059107.1; NP_000335.1	294; 294	Pfam	PF06003; PF06003	Survival motor neuron protein (SMN); Survival motor neuron protein (SMN)	6.7E-104; 6.7E-104	IPR010304; IPR010304	Survival motor neuron; Survival motor neuron
NP_000385.1	NP_001300979.1; NP_000385.1	173; 173	Pfam	PF00011, PF00525; PF00011, PF00525	Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal; Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal	2.7E-22, 2.1E-25; 2.7E-22, 2.1E-25	IPR002068, IPR003090; IPR002068, IPR003090	Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal; Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal
NP_000488.3	NP_000488.3; NP_000489.3	503; 503	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	1.9E-104; 5.8E-107	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000504.1	NP_001316996.1; NP_001041646.1; NP_000504.1; NP_064445.2	364; 364; 364; 364	Pfam	PF00001; PF00001; PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.5E-39; 1.5E-39; 1.5E-39; 1.2E-39	IPR000276; IPR000276; IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_000508.1	NP_000549.1; NP_000508.1	142; 142	Pfam	PF00042; PF00042	Globin; Globin	1.0E-28; 1.0E-28	IPR000971; IPR000971	Globin; Globin
NP_000509.1	NP_000509.1; NP_000510.1	147; 147	Pfam	PF00042; PF00042	Globin; Globin	9.3E-31; 5.7E-31	IPR000971; IPR000971	Globin; Globin
NP_000598.2	NP_000598.2; NP_000599.1	201; 201	Pfam	PF00061; PF00061	Lipocalin / cytosolic fatty-acid binding protein family; Lipocalin / cytosolic fatty-acid binding protein family	1.5E-18; 1.1E-17	IPR000566; IPR000566	Lipocalin/cytosolic fatty-acid binding domain; Lipocalin/cytosolic fatty-acid binding domain
NP_000658.1	NP_000658.1; NP_000659.2; NP_000660.1	375; 375; 375	Pfam	PF00107, PF08240; PF08240, PF00107; PF00107, PF08240	Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase GroES-like domain, Zinc-binding dehydrogenase; Zinc-binding dehydrogenase, Alcohol dehydrogenase GroES-like domain	5.3E-27, 1.6E-26; 2.1E-26, 2.9E-26; 1.1E-26, 1.2E-26	IPR013149, IPR013154; IPR013154, IPR013149; IPR013149, IPR013154	Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal; Alcohol dehydrogenase, N-terminal, Alcohol dehydrogenase, C-terminal; Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase, N-terminal
NP_000690.1	NP_000690.1; NP_066188.1; XP_016856547.1; NP_001373854.1; NP_004029.2	511; 511; 511; 511; 511	Pfam	PF02806, PF00128; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806; PF00128, PF02806	Alpha amylase, C-terminal all-beta domain, Alpha amylase, catalytic domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain; Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain	4.6E-15, 2.2E-14; 4.3E-15, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15; 4.3E-14, 5.4E-15	IPR006048, IPR006047; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048; IPR006047, IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta, Glycosyl hydrolase, family 13, catalytic domain; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta; Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta
NP_000728.1	NP_149439.1; NP_149032.1; NP_000728.1; NP_149133.1; NP_203695.2	165; 165; 165; 165; 155	Pfam	PF00007; PF00007; PF00007; PF00007; PF00007	Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain; Cystine-knot domain	2.5E-34; 2.5E-34; 2.5E-34; 2.5E-34; 2.0E-34	IPR006208; IPR006208; IPR006208; IPR006208; IPR006208	Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta; Glycoprotein hormone subunit beta
NP_000753.3	NP_000753.3; NP_000757.2; NP_000755.2	494; 494; 494	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	1.6E-150; 1.9E-150; 6.2E-147	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000760.1	NP_000760.1; NP_000762.2	490; 490	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	1.5E-159; 3.3E-162	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000769.2	NP_000769.2; NP_001010969.2	519; 519	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	5.2E-131; 6.4E-125	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_000782.1	NP_000782.1; NP_789785.1	187; 187	Pfam	PF00186; PF00186	Dihydrofolate reductase; Dihydrofolate reductase	2.1E-32; 2.2E-29	IPR001796; IPR001796	Dihydrofolate reductase domain; Dihydrofolate reductase domain
NP_000845.2	NP_000845.2; NP_001074312.1	244; 244	Pfam	PF02798, PF00043; PF00043, PF02798	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain	3.3E-12, 4.4E-7; 3.8E-7, 3.3E-12	IPR004045, IPR004046; IPR004046, IPR004045	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal
NP_000978.1	NP_000978.1; XP_016865008.1	145; 145	Pfam	PF00467, PF16906; PF00467, PF16906	KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal; KOW motif, Ribosomal proteins L26 eukaryotic, L24P archaeal	9.3E-8, 2.9E-43; 9.3E-8, 4.6E-43	IPR005824, IPR005756; IPR005824, IPR005756	KOW, Ribosomal protein L26/L24, eukaryotic/archaeal; KOW, Ribosomal protein L26/L24, eukaryotic/archaeal
