XP_001689450.1	XP_001689450.1; XP_001700901.1	280; 276	Pfam	PF01459; PF01459	Eukaryotic porin; Eukaryotic porin	1.3E-34; 3.5E-39	IPR027246; IPR027246	Eukaryotic porin/Tom40; Eukaryotic porin/Tom40
XP_001689475.2	XP_001689475.2; XP_042922166.1; XP_042928947.1; XP_042918679.1	365; 364; 371; 381	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
XP_001689476.1	XP_001689476.1; XP_001689923.1	245; 245	Pfam	; 	; 	; 	; 	; 
XP_001689737.1	XP_001689737.1; XP_042919949.1; XP_001700420.1	129; 129; 129	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
XP_001689808.1	XP_001689808.1; XP_042914324.1	120; 120	Pfam	; 	; 	; 	; 	; 
XP_001689821.1	XP_001689821.1; XP_001690281.2	241; 241	Pfam	PF00011; PF00011	Hsp20/alpha crystallin family; Hsp20/alpha crystallin family	2.0E-10; 2.8E-10	IPR002068; IPR002068	Alpha crystallin/Hsp20 domain; Alpha crystallin/Hsp20 domain
XP_001689887.2	XP_001689887.2; XP_042928230.1	290; 287	Pfam	PF00188; PF00188	Cysteine-rich secretory protein family; Cysteine-rich secretory protein family	1.0E-16; 8.3E-14	IPR014044; IPR014044	CAP domain; CAP domain
XP_001689911.1	XP_001689911.1; XP_001699936.2	268; 278	Pfam	PF00168; PF00168	C2 domain; C2 domain	3.7E-20; 1.8E-20	IPR000008; IPR000008	C2 domain; C2 domain
XP_001690010.1	XP_001690010.1; XP_001699308.1; XP_001701577.1	158; 148; 155	Pfam	PF00179; PF00179; PF00179	Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme; Ubiquitin-conjugating enzyme	9.4E-50; 2.4E-54; 4.0E-48	IPR000608; IPR000608; IPR000608	Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2; Ubiquitin-conjugating enzyme E2
XP_001690308.2	XP_001690308.2; XP_001690309.2; XP_042914660.1; XP_042914657.1	495; 501; 500; 510	Pfam	PF12499; PF12499; PF12499; PF12499	Pherophorin; Pherophorin; Pherophorin; Pherophorin	4.9E-37; 3.4E-36; 1.4E-32; 1.5E-33	IPR024616; IPR024616; IPR024616; IPR024616	Pherophorin; Pherophorin; Pherophorin; Pherophorin
XP_001690322.2	XP_001690322.2; XP_042923631.1	868; 869	Pfam	PF00128, PF02806, PF02922; PF02922, PF00128, PF02806	Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain, Carbohydrate-binding module 48 (Isoamylase N-terminal domain); Carbohydrate-binding module 48 (Isoamylase N-terminal domain), Alpha amylase, catalytic domain, Alpha amylase, C-terminal all-beta domain	8.3E-11, 3.6E-23, 2.4E-12; 5.1E-14, 4.1E-10, 3.7E-18	IPR006047, IPR006048, IPR004193; IPR004193, IPR006047, IPR006048	Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta, Glycoside hydrolase, family 13, N-terminal; Glycoside hydrolase, family 13, N-terminal, Glycosyl hydrolase, family 13, catalytic domain, Alpha-amylase/branching enzyme, C-terminal all beta
XP_001690375.1	XP_001690375.1; XP_001692816.1	428; 427	Pfam	PF00004, PF17862, PF16450; PF17862, PF00004	ATPase family associated with various cellular activities (AAA), AAA+ lid domain, Proteasomal ATPase OB C-terminal domain; AAA+ lid domain, ATPase family associated with various cellular activities (AAA)	3.9E-42, 9.3E-11, 2.8E-16; 2.2E-11, 2.3E-40	IPR003959, IPR041569, IPR032501; IPR041569, IPR003959	ATPase, AAA-type, core, AAA ATPase, AAA+ lid domain, Proteasomal ATPase OB C-terminal domain; AAA ATPase, AAA+ lid domain, ATPase, AAA-type, core
XP_001690426.2	XP_001690426.2; XP_042928320.1	348; 343	Pfam	; 	; 	; 	; 	; 
XP_001690498.1	XP_001690498.1; XP_001690500.1	302; 302	Pfam	PF05049; PF05049	Interferon-inducible GTPase (IIGP); Interferon-inducible GTPase (IIGP)	2.5E-10; 1.4E-10	IPR007743; IPR007743	Immunity-related GTPases-like; Immunity-related GTPases-like
XP_001690613.2	XP_001690613.2; XP_042927974.1	284; 289	Pfam	; 	; 	; 	; 	; 
XP_001690668.1	XP_042923734.1; XP_001690668.1; XP_001691162.1; XP_001696186.1; XP_001703061.2; XP_001696192.1; XP_001696523.1; XP_001701414.1; XP_001696549.1; XP_042914527.1; XP_001696283.1; XP_001700461.1; XP_001696245.1; XP_001696556.1; XP_042914553.1; XP_001691541.1; XP_001700403.1; XP_001702226.1; XP_042918217.1; XP_001691007.1; XP_042914596.1; XP_001691693.1; XP_001702223.2; XP_001693722.1; XP_001693071.1; XP_001692948.1	153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 153; 152; 156; 155; 155	Pfam	PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125; PF00125	Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4; Core histone H2A/H2B/H3/H4	8.0E-23; 8.0E-23; 5.4E-23; 5.4E-23; 5.4E-23; 5.4E-23; 5.4E-23; 5.4E-23; 5.4E-23; 6.7E-23; 6.7E-23; 5.3E-23; 3.2E-23; 3.2E-23; 3.9E-23; 5.8E-23; 1.2E-22; 1.1E-22; 1.1E-22; 1.1E-22; 1.2E-22; 8.9E-23; 6.8E-23; 2.3E-22; 3.6E-22; 2.4E-22	IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125; IPR007125	Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3; Histone H2A/H2B/H3
