NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_000097.3	NP_000097.3; XP_016885819.1; XP_016885820.1	497; 497; 497	Pfam	PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450	9.3E-133; 2.4E-131; 2.4E-131	IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_000163.2	NP_000163.2; NP_001364224.1; NP_001095856.1	350; 354; 354	Pfam	PF00503; PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit	1.4E-120; 3.5E-124; 1.2E-123	IPR001019; IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_000175.1	NP_000175.1; NP_000550.2	147; 147	Pfam	PF00042; PF00042	Globin; Globin	4.1E-31; 2.0E-30	IPR000971; IPR000971	Globin; Globin
NP_000208.2	NP_000208.2; XP_016856702.1	495; 499	Pfam	PF02214, PF00520; PF02214, PF00520	BTB/POZ domain, Ion transport protein; BTB/POZ domain, Ion transport protein	1.8E-28, 6.3E-51; 3.5E-28, 1.1E-50	IPR003131, IPR005821; IPR003131, IPR005821	Potassium channel tetramerisation-type BTB domain, Ion transport domain; Potassium channel tetramerisation-type BTB domain, Ion transport domain
NP_000238.1	NP_000238.1; NP_005922.2	383; 383	Pfam	PF00129, PF07654; PF00129, PF07654	Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain; Class I Histocompatibility antigen, domains alpha 1 and 2, Immunoglobulin C1-set domain	5.6E-24, 3.7E-10; 1.3E-25, 1.8E-10	IPR011161, IPR003597; IPR011161, IPR003597	MHC class I-like antigen recognition-like, Immunoglobulin C1-set; MHC class I-like antigen recognition-like, Immunoglobulin C1-set
NP_000281.2	NP_000281.2; NP_002620.1; NP_001025062.1	253; 254; 254	Pfam	PF00300; PF00300; PF00300	Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1); Histidine phosphatase superfamily (branch 1)	1.0E-27; 9.2E-27; 1.8E-24	IPR013078; IPR013078; IPR013078	Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1; Histidine phosphatase superfamily, clade-1
NP_000282.1	NP_000282.1; NP_620061.2	417; 417	Pfam	PF00162; PF00162	Phosphoglycerate kinase; Phosphoglycerate kinase	8.8E-151; 1.8E-148	IPR001576; IPR001576	Phosphoglycerate kinase; Phosphoglycerate kinase
NP_000335.1	NP_059107.1; NP_000335.1	294; 294	Pfam	PF06003; PF06003	Survival motor neuron protein (SMN); Survival motor neuron protein (SMN)	6.7E-104; 6.7E-104	IPR010304; IPR010304	Survival motor neuron; Survival motor neuron
NP_000385.1	NP_001300979.1; NP_000385.1	173; 173	Pfam	PF00011, PF00525; PF00011, PF00525	Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal; Hsp20/alpha crystallin family, Alpha crystallin A chain, N terminal	2.7E-22, 2.1E-25; 2.7E-22, 2.1E-25	IPR002068, IPR003090; IPR002068, IPR003090	Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal; Alpha crystallin/Hsp20 domain, Alpha-crystallin, N-terminal
NP_000413.1	NP_000413.1; NP_000517.3; NP_005548.2	432; 472; 473	Pfam	PF00038; PF00038; PF00038	Intermediate filament protein; Intermediate filament protein; Intermediate filament protein	1.1E-118; 5.1E-122; 2.3E-118	IPR039008; IPR039008; IPR039008	Intermediate filament, rod domain; Intermediate filament, rod domain; Intermediate filament, rod domain
