XP_001689450.1	XP_001689450.1; XP_001700901.1	280; 276	Pfam	PF01459; PF01459	Eukaryotic porin; Eukaryotic porin	1.3E-34; 3.5E-39	IPR027246; IPR027246	Eukaryotic porin/Tom40; Eukaryotic porin/Tom40
XP_001689455.1	XP_001689455.1; XP_001698498.1	194; 161	Pfam	PF08534; PF08534	Redoxin; Redoxin	4.2E-35; 1.1E-36	IPR013740; IPR013740	Redoxin; Redoxin
XP_001689460.2	XP_001689460.2; XP_042918073.1; XP_042928288.1	250; 261; 160	Pfam	PF03556, PF14555; PF14555, PF03556; PF14555	Cullin binding, UBA-like domain; UBA-like domain, Cullin binding; UBA-like domain	1.1E-33, 4.8E-5; 3.9E-12, 5.6E-37; 1.1E-5	IPR005176, -; -, IPR005176; -	Potentiating neddylation domain, -; -, Potentiating neddylation domain; -
XP_001689463.1	XP_001689463.1; XP_042919733.1	796; 852	Pfam	; 	; 	; 	; 	; 
XP_001689475.2	XP_001689475.2; XP_042922166.1; XP_042928947.1; XP_042919266.1; XP_042918679.1	365; 364; 371; 439; 381	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
XP_001689476.1	XP_001689476.1; XP_001689923.1	245; 245	Pfam	; 	; 	; 	; 	; 
XP_001689542.2	XP_001689542.2; XP_042918441.1	126; 90	Pfam	PF07460; PF07460	NUMOD3 motif; NUMOD3 motif	0.02; 6.2E-5	IPR003611; IPR003611	Nuclease associated modular domain 3; Nuclease associated modular domain 3
XP_001689737.1	XP_001689737.1; XP_042919949.1; XP_001700420.1; XP_001692354.2; XP_042919517.1	129; 129; 129; 111; 111	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
XP_001689808.1	XP_001689808.1; XP_042914324.1	120; 120	Pfam	; 	; 	; 	; 	; 
XP_001689821.1	XP_001689821.1; XP_001690281.2	241; 241	Pfam	PF00011; PF00011	Hsp20/alpha crystallin family; Hsp20/alpha crystallin family	2.0E-10; 2.8E-10	IPR002068; IPR002068	Alpha crystallin/Hsp20 domain; Alpha crystallin/Hsp20 domain
XP_001689887.2	XP_001689887.2; XP_042928228.1	290; 279	Pfam	PF00188; PF00188	Cysteine-rich secretory protein family; Cysteine-rich secretory protein family	1.0E-16; 1.1E-17	IPR014044; IPR014044	CAP domain; CAP domain
XP_001689932.2	XP_001689932.2; XP_042928331.1	827; 788	Pfam	PF13855; PF13855	Leucine rich repeat; Leucine rich repeat	1.1E-9; 1.0E-9	IPR001611; IPR001611	Leucine-rich repeat; Leucine-rich repeat
XP_001689942.2	XP_001689942.2; XP_001696080.1	349; 389	Pfam	PF01916; PF01916	Deoxyhypusine synthase; Deoxyhypusine synthase	9.2E-129; 4.6E-126	IPR002773; IPR002773	Deoxyhypusine synthase; Deoxyhypusine synthase
