XP_001689460.2	XP_001689460.2; XP_042928288.1	250; 160	Pfam	PF03556, PF14555; PF14555	Cullin binding, UBA-like domain; UBA-like domain	1.1E-33, 4.8E-5; 1.1E-5	IPR005176, -; -	Potentiating neddylation domain, -; -
XP_001689476.1	XP_001689476.1; XP_001689923.1	245; 245	Pfam	; 	; 	; 	; 	; 
XP_001689737.1	XP_001689737.1; XP_042919949.1; XP_001700420.1; XP_001692354.2; XP_042919517.1	129; 129; 129; 111; 111	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
XP_001689808.1	XP_001689808.1; XP_042914324.1	120; 120	Pfam	; 	; 	; 	; 	; 
XP_001689821.1	XP_001689821.1; XP_001690281.2	241; 241	Pfam	PF00011; PF00011	Hsp20/alpha crystallin family; Hsp20/alpha crystallin family	2.0E-10; 2.8E-10	IPR002068; IPR002068	Alpha crystallin/Hsp20 domain; Alpha crystallin/Hsp20 domain
XP_001689932.2	XP_001689932.2; XP_042928331.1	827; 788	Pfam	PF13855; PF13855	Leucine rich repeat; Leucine rich repeat	1.1E-9; 1.0E-9	IPR001611; IPR001611	Leucine-rich repeat; Leucine-rich repeat
XP_001689957.2	XP_001689957.2; XP_042928379.1	345; 292	Pfam	; 	; 	; 	; 	; 
XP_001690137.1	XP_001690137.1; XP_042928688.1	248; 157	Pfam	PF01327; PF01327	Polypeptide deformylase; Polypeptide deformylase	6.2E-46; 4.3E-36	IPR023635; IPR023635	Peptide deformylase; Peptide deformylase
XP_001690308.2	XP_001690308.2; XP_042924273.1	495; 572	Pfam	PF12499; PF12499	Pherophorin; Pherophorin	4.9E-37; 8.1E-29	IPR024616; IPR024616	Pherophorin; Pherophorin
XP_001690498.1	XP_001690498.1; XP_001690500.1	302; 302	Pfam	PF05049; PF05049	Interferon-inducible GTPase (IIGP); Interferon-inducible GTPase (IIGP)	2.5E-10; 1.4E-10	IPR007743; IPR007743	Immunity-related GTPases-like; Immunity-related GTPases-like
XP_001690514.1	XP_001690514.1; XP_001702660.1; XP_001702481.2; XP_042920217.1	659; 641; 641; 632	Pfam	PF00860; PF00860; PF00860; PF00860	Permease family; Permease family; Permease family; Permease family	9.0E-40; 1.9E-41; 1.9E-41; 5.0E-37	IPR006043; IPR006043; IPR006043; IPR006043	Nucleobase cation symporter 2 family; Nucleobase cation symporter 2 family; Nucleobase cation symporter 2 family; Nucleobase cation symporter 2 family
XP_001690613.2	XP_001690613.2; XP_042926302.1; XP_042926298.1; XP_042926301.1	284; 192; 194; 134	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
