NP_027422.1	NP_027422.1; NP_849661.1	303; 293	Pfam	PF06454; PF06454	Protein of unknown function (DUF1084); Protein of unknown function (DUF1084)	5.5E-146; 1.1E-145	IPR009457; IPR009457	THH1/TOM1/TOM3 domain; THH1/TOM1/TOM3 domain
NP_027543.2	NP_027543.2; NP_001322262.1	606; 603	Pfam	PF03141; PF03141	Putative S-adenosyl-L-methionine-dependent methyltransferase; Putative S-adenosyl-L-methionine-dependent methyltransferase	6.2E-75; 5.1E-132	IPR004159; IPR004159	Putative S-adenosyl-L-methionine-dependent methyltransferase; Putative S-adenosyl-L-methionine-dependent methyltransferase
NP_051037.1	NP_051038.1; NP_051037.1	123; 123	Pfam	PF00164; PF00164	Ribosomal protein S12/S23; Ribosomal protein S12/S23	5.1E-42; 5.1E-42	IPR006032; IPR006032	Ribosomal protein S12/S23; Ribosomal protein S12/S23
NP_051099.1	NP_051123.1; NP_051099.1	274; 274	Pfam	PF00181, PF03947; PF00181, PF03947	Ribosomal Proteins L2, RNA binding domain, Ribosomal Proteins L2, C-terminal domain; Ribosomal Proteins L2, RNA binding domain, Ribosomal Proteins L2, C-terminal domain	2.9E-30, 4.3E-53; 2.9E-30, 4.3E-53	IPR022666, IPR022669; IPR022666, IPR022669	Ribosomal Proteins L2, RNA binding domain, Ribosomal protein L2, C-terminal; Ribosomal Proteins L2, RNA binding domain, Ribosomal protein L2, C-terminal
NP_051100.1	NP_051122.1; NP_051100.1	93; 93	Pfam	PF00276; PF00276	Ribosomal protein L23; Ribosomal protein L23	5.9E-21; 5.9E-21	IPR013025; IPR013025	Ribosomal protein L25/L23; Ribosomal protein L25/L23
NP_051101.1	NP_051121.1; NP_051101.1	2294; 2294	Pfam	PF05695, PF00004; PF05695, PF00004	Plant protein of unknown function (DUF825), ATPase family associated with various cellular activities (AAA); Plant protein of unknown function (DUF825), ATPase family associated with various cellular activities (AAA)	0.0, 4.9E-9; 0.0, 4.9E-9	IPR008543, IPR003959; IPR008543, IPR003959	Uncharacterised protein family Ycf2, ATPase, AAA-type, core; Uncharacterised protein family Ycf2, ATPase, AAA-type, core
NP_051103.2	NP_051119.2; NP_051103.2	512; 512	Pfam	PF00361; PF00361	Proton-conducting membrane transporter; Proton-conducting membrane transporter	1.2E-87; 1.2E-87	IPR001750; IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit; NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit
NP_051104.1	NP_051118.1; NP_051104.1	155; 155	Pfam	PF00177; PF00177	Ribosomal protein S7p/S5e; Ribosomal protein S7p/S5e	3.5E-53; 3.5E-53	IPR023798; IPR023798	Ribosomal protein S7 domain; Ribosomal protein S7 domain
NP_171661.1	NP_171661.1; NP_001190651.1	472; 480	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	3.6E-47; 3.6E-48	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_171666.1	NP_171666.1; NP_191946.1	554; 553	Pfam	PF00067; PF00067	Cytochrome P450; Cytochrome P450	3.2E-64; 3.8E-66	IPR001128; IPR001128	Cytochrome P450; Cytochrome P450
NP_171667.1	NP_171667.1; NP_191950.2	503; 500	Pfam	PF12710, PF01553; PF01553, PF12710	haloacid dehalogenase-like hydrolase, Acyltransferase; Acyltransferase, haloacid dehalogenase-like hydrolase	1.6E-13, 2.7E-5; 1.3E-5, 3.3E-14	-, IPR002123; IPR002123, -	-, Phospholipid/glycerol acyltransferase; Phospholipid/glycerol acyltransferase, -
NP_171668.1	NP_171668.1; NP_567178.1; NP_001078323.1; NP_194071.1	286; 287; 286; 287	Pfam	PF00230; PF00230; PF00230; PF00230	Major intrinsic protein; Major intrinsic protein; Major intrinsic protein; Major intrinsic protein	4.5E-84; 9.0E-84; 2.7E-85; 5.4E-84	IPR000425; IPR000425; IPR000425; IPR000425	Major intrinsic protein; Major intrinsic protein; Major intrinsic protein; Major intrinsic protein
NP_171702.1	NP_171702.1; NP_191922.1; NP_182056.1	434; 430; 437	Pfam	PF16363; PF16363; PF16363	GDP-mannose 4,6 dehydratase; GDP-mannose 4,6 dehydratase; GDP-mannose 4,6 dehydratase	4.8E-50; 3.0E-51; 5.2E-51	IPR016040; IPR016040; IPR016040	NAD(P)-binding domain; NAD(P)-binding domain; NAD(P)-binding domain
NP_171715.1	NP_171715.1; NP_568678.1; NP_193486.1	203; 202; 202	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	1.1E-66; 9.2E-65; 9.9E-66	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_171745.3	NP_171745.3; NP_563652.1	190; 190	Pfam	PF00025; PF00025	ADP-ribosylation factor family; ADP-ribosylation factor family	1.2E-45; 1.4E-43	IPR006689; IPR006689	Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type
NP_171751.1	NP_171751.1; NP_001078345.1; NP_188365.1; NP_181225.1	393; 393; 393; 390	Pfam	PF00438, PF02772, PF02773; PF02773, PF00438, PF02772; PF02773, PF00438, PF02772; PF00438, PF02772, PF02773	S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal domain; S-adenosylmethionine synthetase, C-terminal domain, S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, C-terminal domain, S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal domain, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal domain	1.4E-42, 1.9E-47, 4.3E-59; 3.3E-60, 1.9E-42, 3.7E-47; 1.0E-60, 1.5E-43, 4.9E-48; 5.6E-43, 1.3E-47, 2.1E-60	IPR022628, IPR022629, IPR022630; IPR022630, IPR022628, IPR022629; IPR022630, IPR022628, IPR022629; IPR022628, IPR022629, IPR022630	S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal; S-adenosylmethionine synthetase, C-terminal, S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, C-terminal, S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, C-terminal
NP_171754.1	NP_171754.1; NP_001322408.1	1273; 1278	Pfam	PF00664, PF00005; PF00664, PF00005	ABC transporter transmembrane region, ABC transporter; ABC transporter transmembrane region, ABC transporter	9.3E-59, 1.7E-35; 4.6E-60, 3.1E-35	IPR011527, IPR003439; IPR011527, IPR003439	ABC transporter type 1, transmembrane domain, ABC transporter-like, ATP-binding domain; ABC transporter type 1, transmembrane domain, ABC transporter-like, ATP-binding domain
NP_171758.2	NP_171758.2; NP_001184891.1	278; 276	Pfam	; 	; 	; 	; 	; 
NP_171777.1	NP_171777.1; NP_188300.1; NP_192132.1	214; 209; 208	Pfam	PF01280; PF01280; PF01280	Ribosomal protein L19e; Ribosomal protein L19e; Ribosomal protein L19e	8.7E-64; 2.0E-64; 4.4E-64	IPR000196; IPR000196; IPR000196	Ribosomal protein L19/L19e; Ribosomal protein L19/L19e; Ribosomal protein L19/L19e
NP_171791.1	NP_171791.1; NP_171792.1	209; 208	Pfam	PF02798, PF00043; PF00043, PF02798	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain, Glutathione S-transferase, N-terminal domain	1.8E-21, 6.7E-17; 2.3E-16, 1.0E-21	IPR004045, IPR004046; IPR004046, IPR004045	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; Glutathione S-transferase, C-terminal, Glutathione S-transferase, N-terminal
NP_171812.1	NP_171812.1; NP_192186.1	204; 208	Pfam	PF02531; PF02531	PsaD; PsaD	2.0E-67; 2.2E-67	IPR003685; IPR003685	Photosystem I PsaD; Photosystem I PsaD
NP_171821.1	NP_171821.1; NP_563679.1	433; 434	Pfam	PF14543, PF14541; PF14541, PF14543	Xylanase inhibitor N-terminal, Xylanase inhibitor C-terminal; Xylanase inhibitor C-terminal, Xylanase inhibitor N-terminal	3.2E-38, 3.8E-57; 6.9E-56, 2.3E-38	IPR032861, IPR032799; IPR032799, IPR032861	Xylanase inhibitor, N-terminal, Xylanase inhibitor, C-terminal; Xylanase inhibitor, C-terminal, Xylanase inhibitor, N-terminal
NP_171823.1	NP_171823.1; NP_001318912.1	42; 41	Pfam	; 	; 	; 	; 	; 
NP_171880.1	NP_171880.1; NP_201474.1; NP_001189882.1; NP_195935.2; NP_001325407.1	506; 500; 514; 503; 516	Pfam	; ; ; PF00096; PF12171	; ; ; Zinc finger, C2H2 type; Zinc-finger double-stranded RNA-binding	; ; ; 0.005; 6.4E-5	; ; ; IPR013087; IPR022755	; ; ; Zinc finger C2H2-type; Zinc finger, double-stranded RNA binding
NP_171882.1	NP_171882.1; NP_199227.1; NP_194580.1; NP_001077924.1	286; 278; 288; 286	Pfam	PF01145; PF01145; PF01145; PF01145	SPFH domain / Band 7 family; SPFH domain / Band 7 family; SPFH domain / Band 7 family; SPFH domain / Band 7 family	4.1E-27; 1.9E-26; 2.2E-26; 4.8E-23	IPR001107; IPR001107; IPR001107; IPR001107	Band 7 domain; Band 7 domain; Band 7 domain; Band 7 domain
NP_171914.1	NP_171914.1; NP_199202.1	421; 424	Pfam	PF00743; PF00743	Flavin-binding monooxygenase-like; Flavin-binding monooxygenase-like	4.2E-36; 2.3E-33	IPR020946; IPR020946	Flavin monooxygenase-like; Flavin monooxygenase-like
NP_171918.1	NP_171918.1; NP_199189.1	528; 529	Pfam	PF08392, PF08541; PF08392, PF08541	FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal; FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	5.0E-140, 8.7E-11; 3.5E-140, 1.3E-10	IPR013601, IPR013747; IPR013601, IPR013747	FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal; FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal
