	category1	category2	ko_id	function	species_name	hsds_id	hsds_num
0	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00850  pfkA, PFK; 6-phosphofructokinase 1 		Chlamydomonas_reinhardtii.60_100	XP_001694148.1	1
1	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00873  PK, pyk; pyruvate kinase 		Chlamydomonas_reinhardtii.60_100	XP_042923421.1	1
2	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01006  ppdK; pyruvate, orthophosphate dikinase 		Chlamydomonas_reinhardtii.60_100	XP_042914963.1	1
3	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00121  frmA, AH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase 		Chlamydomonas_reinhardtii.60_100	XP_042919155.1	1
4	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K12957  ahr; alcohol/geraniol dehydrogenase (NAP+) 		Chlamydomonas_reinhardtii.60_100	XP_001692728.2	1
5	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01895  ACSS1_2, acs; acetyl-CoA synthetase 		Chlamydomonas_reinhardtii.60_100	XP_001700210.2	1
6	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	K00026  MH2; malate dehydrogenase 		Chlamydomonas_reinhardtii.60_100	XP_001693118.1	1
7	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00012  UGH, ugd; UPglucose 6-dehydrogenase 		Chlamydomonas_reinhardtii.60_100	XP_001698004.1	1
8	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	K01179  E3.2.1.4; endoglucanase 		Chlamydomonas_reinhardtii.60_100	XP_001701546.2	1
9	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	K00700  GBE1, glgB; 1,4-alpha-glucan branching enzyme 		Chlamydomonas_reinhardtii.60_100	XP_001690322.2	1
10	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	K01176  AMY, amyA, malS; alpha-amylase 		Chlamydomonas_reinhardtii.60_100	XP_042922348.1	1
11	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00925  ackA; acetate kinase 		Chlamydomonas_reinhardtii.60_100	XP_001691682.2	1
12	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K13788  pta; phosphate acetyltransferase 		Chlamydomonas_reinhardtii.60_100	XP_042914337.1	1
13	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K01595  ppc; phosphoenolpyruvate carboxylase 		Chlamydomonas_reinhardtii.60_100	XP_042916141.1	1
14	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K01602  rbcS, cbbS; ribulose-bisphosphate carboxylase small chain 		Chlamydomonas_reinhardtii.60_100	XP_001702409.1	1
15	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K01915  glnA, GLUL; glutamine synthetase 		Chlamydomonas_reinhardtii.60_100	XP_001692927.2	1
16	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00600  glyA, SHMT; glycine hydroxymethyltransferase 		Chlamydomonas_reinhardtii.60_100	XP_001701451.1	1
17	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02128  ATPeF0C, ATP5G, ATP9; F-type H+-transporting ATPase subunit c		Chlamydomonas_reinhardtii.60_100	XP_001701500.1	1
18	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K02154  ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a		Chlamydomonas_reinhardtii.60_100	XP_001695223.1	1
19	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	K03542  psbS; photosystem II 22ka protein		Chlamydomonas_reinhardtii.60_100	XP_001689476.1	1
20	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	K02639  petF; ferredoxin		Chlamydomonas_reinhardtii.60_100	XP_001692808.1	1
21	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	K08912  LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1		Chlamydomonas_reinhardtii.60_100	XP_001693987.1	1
22	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	K08913  LHCB2; light-harvesting complex II chlorophyll a/b binding protein 2		Chlamydomonas_reinhardtii.60_100	XP_001693987.1	1
23	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	K00058  serA, PHGH; -3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 		Chlamydomonas_reinhardtii.60_100	XP_001692429.2	1
24	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	K01079  serB, PSPH; phosphoserine phosphatase 		Chlamydomonas_reinhardtii.60_100	XP_042925046.1	1
25	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K02575  NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter		Chlamydomonas_reinhardtii.60_100	XP_001696788.2	1
26	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K05601  hcp; hydroxylamine reductase 		Chlamydomonas_reinhardtii.60_100	XP_001694454.1	1
27	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K01673  cynT, can; carbonic anhydrase 		Chlamydomonas_reinhardtii.60_100	XP_042924593.1, XP_001697606.1	2
28	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K01674  cah; carbonic anhydrase 		Chlamydomonas_reinhardtii.60_100	XP_001692290.1	1
29	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K00958  sat, met3; sulfate adenylyltransferase 		Chlamydomonas_reinhardtii.60_100	XP_001693343.2	1
30	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K01738  cysK; cysteine synthase 		Chlamydomonas_reinhardtii.60_100	XP_001691935.1	1
31	09103 Lipid metabolism	00062 Fatty acid elongation [PATH:ko00062]	K15397  KCS; 3-ketoacyl-CoA synthase 		Chlamydomonas_reinhardtii.60_100	XP_042922497.1	1
32	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00006  GP1; glycerol-3-phosphate dehydrogenase (NA+) 		Chlamydomonas_reinhardtii.60_100	XP_042919880.1	1
33	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase 		Chlamydomonas_reinhardtii.60_100	XP_042915965.1	1
34	09103 Lipid metabolism	00590 Arachidonic acid metabolism [PATH:ko00590]	K01832  TBXAS1, CYP5A; thromboxane-A synthase 		Chlamydomonas_reinhardtii.60_100	XP_042921293.1	1
35	09103 Lipid metabolism	00590 Arachidonic acid metabolism [PATH:ko00590]	K04097  HPGS; prostaglandin-H2 -isomerase / glutathione transferase 		Chlamydomonas_reinhardtii.60_100	XP_001699262.1	1
36	09103 Lipid metabolism	00592 alpha-Linolenic acid metabolism [PATH:ko00592]	K05894  OPR; 12-oxophytodienoic acid reductase 		Chlamydomonas_reinhardtii.60_100	XP_001699408.1	1
37	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K01081  E3.1.3.5; 5'-nucleotidase 		Chlamydomonas_reinhardtii.60_100	XP_042926165.1	1
38	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K00940  ndk, NME; nucleoside-diphosphate kinase 		Chlamydomonas_reinhardtii.60_100	XP_001698246.1	1
